Month,Average_SST
1,27.0183762790698
2,27.538597906976804
3,27.78520232558145
4,27.710634418604684
5,27.25444697674419
6,26.66681162790701
7,25.996660952380978
8,25.564016190476195
9,25.402780476190514
10,25.566908333333345
11,26.031636190476206
12,26.475653333333355
