Month,Average_SST
1,28.271862325581424
2,28.54360093023257
3,28.65372465116286
4,28.270069302325624
5,27.31535093023257
6,26.140608139534947
7,25.205339047619077
8,24.731976666666696
9,24.742968809523802
10,25.282860952380986
11,26.288653333333343
12,27.512710476190477
