Month,Average_SST
1,28.94465511627908
2,29.191014186046516
3,29.582196744186035
4,29.42425000000003
5,28.193852325581418
6,26.71852720930235
7,25.552498809523854
8,25.084210952380943
9,25.451239047619083
10,26.460861428571434
11,27.58497642857145
12,28.4719504761905
